,Airport,Prox_Airports
109,05738.*A,"['01132.*A', '03805.*A', '05829.*A', '05839.5*A', '06022.11*A', '06039.1*A', '06057.1*A', '06070.*A', '06089.*A', '05903.*A', '04427.*A', '04444.*A', '04508.1*A', '04507.*A', '04567.*A', '04650.1*A', '04938.*A', '04767.*A', '04824.*A', '04870.*A', '04503.*A', '05388.11*A', '05375.*A', '05281.*A', '06811.*A', '07055.*A', '08559.*A', '09524.*A', '10228.*A', '09725.*A', '09657.*A', '09834.*A', '09847.*A', '10092.*A', '09977.*A', '10034.*A', '10382.2*A', '09614.*A', '10509.*A', '10605.*A', '10653.*A', '10746.2*A', '10824.*A', '11098.*A', '11098.2*A', '11816.6*A', '11884.*A', '12077.*A', '12151.01*A', '12160.1*A', '17220.*A', '15100.01*A', '17757.*A', '17668.2*A', '17695.*A', '17746.*A', '18603.*A', '18157.*A', '18609.*A', '18753.*A', '20069.11*A', '20480.2*A', '20503.*A', '20126.*A', '21252.*A', '22309.*A', '23055.*A', '22899.*A', '23097.*A', '23121.*A', '22905.*A', '25863.*A', '25986.*A', '27346.*A', '27166.*A', '27168.1*A', '27465.*A', '27356.*A', '27373.*A', '27505.*A', '27518.*A', '27667.*A', '27682.*A', '26627.*A', '26768.*A']"
110,06811.*A,"['00987.*A', '01132.*A', '01165.*A', '01176.*A', '02765.*A', '05829.*A', '05839.5*A', '06022.11*A', '06039.1*A', '06057.1*A', '06070.*A', '06147.1*A', '06089.*A', '05903.*A', '04427.*A', '04444.*A', '04508.1*A', '04507.*A', '04567.*A', '04650.1*A', '04938.*A', '04767.*A', '04824.*A', '04870.*A', '04503.*A', '05388.11*A', '05375.*A', '05738.*A', '06721.*A', '06948.51*A', '07055.*A', '07796.*A', '10509.*A', '10605.*A', '10512.*A', '10665.*A', '10736.*A', '10746.2*A', '10824.*A', '10615.2*A', '10885.*A', '10899.*A', '10938.*A', '11098.*A', '11098.2*A', '11816.6*A', '11884.*A', '12077.*A', '12151.01*A', '12160.1*A', '11444.*A', '11270.*A', '12693.*A', '12748.*A', '12794.*A', '12960.*A', '12817.*A', '18771.*A', '18855.*A', '18876.11*A', '18978.32*A', '18989.*A', '19080.*A', '19143.*A', '19166.*A', '19199.2*A', '19253.1*A', '19307.2*A', '19283.*A', '19122.*A', '19289.2*A', '19295.11*A', '19136.*A', '22603.*A', '22675.1*A', '23055.*A', '23097.*A', '23121.*A', '22905.*A', '23713.*A', '23895.11*A', '23965.1*A', '23454.*A', '23710.38*A', '27346.*A', '27168.1*A', '27465.*A', '27356.*A', '27373.*A', '27505.*A', '27518.*A', '27667.*A', '27682.*A']"
111,06721.*A,"['00987.*A', '01132.*A', '01165.*A', '01176.*A', '02765.*A', '05829.*A', '05839.5*A', '06022.11*A', '06039.1*A', '06057.1*A', '06070.*A', '06147.1*A', '06089.*A', '05903.*A', '04427.*A', '04444.*A', '04508.1*A', '04507.*A', '04567.*A', '04650.1*A', '04938.*A', '04767.*A', '04824.*A', '04870.*A', '04503.*A', '05375.*A', '06811.*A', '06948.51*A', '07055.*A', '10509.*A', '10605.*A', '10512.*A', '10665.*A', '10736.*A', '10746.2*A', '10824.*A', '10615.2*A', '10885.*A', '10899.*A', '10938.*A', '11098.*A', '11098.2*A', '11816.6*A', '11884.*A', '12077.*A', '12151.01*A', '12160.1*A', '11270.*A', '12693.*A', '12748.*A', '12794.*A', '12960.*A', '12817.*A', '18771.*A', '18855.*A', '18876.11*A', '18978.32*A', '18989.*A', '19080.*A', '19143.*A', '19166.*A', '19199.2*A', '19253.1*A', '19307.2*A', '19283.*A', '19122.*A', '19289.2*A', '19295.11*A', '19136.*A', '22603.*A', '22675.1*A', '23097.*A', '22905.*A', '23713.*A', '23895.11*A', '23965.1*A', '23454.*A', '23710.38*A', '27346.*A', '27168.1*A', '27465.*A', '27356.*A', '27373.*A', '27505.*A', '27518.*A', '27667.*A', '27682.*A']"
112,06948.51*A,"['00987.*A', '01176.*A', '02517.*A', '02573.*A', '02588.*A', '02596.131*A', '02623.*A', '02631.*A', '02765.*A', '05829.*A', '05839.5*A', '06022.11*A', '06039.1*A', '06057.1*A', '06070.*A', '06147.1*A', '06089.*A', '05903.*A', '06811.*A', '06721.*A', '10509.*A', '10736.*A', '10746.2*A', '10615.2*A', '10885.*A', '10938.*A', '11816.6*A', '11884.*A', '12151.01*A', '12160.1*A', '12693.*A', '12748.*A', '12794.*A', '12960.*A', '12817.*A', '14532.*A', '14733.4*A', '18771.*A', '18855.*A', '18876.11*A', '18978.32*A', '18989.*A', '19080.*A', '19143.*A', '19166.*A', '19199.2*A', '19253.1*A', '19307.2*A', '19283.*A', '19122.*A', '19289.2*A', '19295.11*A', '19136.*A', '22603.*A', '22675.1*A', '22817.*A', '23713.*A', '23895.11*A', '23965.1*A', '23454.*A', '23710.38*A', '27759.*A']"
113,07055.*A,"['00128.*A', '00146.*A', '00164.*A', '00438.*A', '00498.*A', '00987.*A', '01132.*A', '01165.*A', '01176.*A', '03642.*A', '03728.*A', '03641.*A', '03643.*A', '03760.*A', '03639.*A', '03805.*A', '03992.*A', '06022.11*A', '06070.*A', '06089.*A', '04427.*A', '04444.*A', '04508.1*A', '04507.*A', '04567.*A', '04650.1*A', '04938.*A', '04767.*A', '04824.*A', '04870.*A', '04503.*A', '05388.11*A', '05375.*A', '05281.*A', '05738.*A', '06811.*A', '06721.*A', '07796.*A', '09524.*A', '10228.*A', '09725.*A', '09657.*A', '09847.*A', '10092.*A', '09977.*A', '10034.*A', '10382.2*A', '11816.6*A', '11884.*A', '12077.*A', '12151.01*A', '12160.1*A', '11444.*A', '11270.*A', '17205.1*A', '17220.*A', '17757.*A', '17668.2*A', '17695.*A', '17746.*A', '18603.*A', '18157.*A', '18609.*A', '18753.*A', '19199.2*A', '19253.1*A', '19289.2*A', '20069.11*A', '20480.2*A', '20126.*A', '21252.*A', '22209.*A', '22309.*A', '22210.*A', '23055.*A', '22899.*A', '23097.*A', '23121.*A', '22905.*A', '25863.*A', '25986.*A', '27346.*A', '27168.1*A', '27505.*A', '27518.*A', '27682.*A', '26627.*A', '26768.*A']"
114,07425.*A,"['00128.*A', '00146.*A', '00164.*A', '00438.*A', '00498.*A', '00987.*A', '01132.*A', '01165.*A', '01176.*A', '03642.*A', '03728.*A', '03641.*A', '03643.*A', '03760.*A', '03639.*A', '03805.*A', '07589.*A', '07675.*A', '07796.*A', '11444.*A', '11270.*A', '18771.*A', '18855.*A', '18978.32*A', '19080.*A', '19143.*A', '19199.2*A', '19253.1*A', '19283.*A', '19122.*A', '19289.2*A', '19295.11*A', '23055.*A', '22899.*A', '23097.*A', '23121.*A', '22905.*A', '23522.2*A', '24072.1*A', '23713.*A', '23895.11*A', '23965.1*A', '23454.*A', '24149.11*A', '23710.38*A', '24163.*A', '24067.61*A', '24889.*A', '24976.*A']"
115,07589.*A,"['00128.*A', '00146.*A', '00164.*A', '00438.*A', '00498.*A', '00987.*A', '01132.*A', '01165.*A', '01176.*A', '03728.*A', '07425.*A', '07675.*A', '07796.*A', '11444.*A', '11270.*A', '18771.*A', '18855.*A', '18876.11*A', '18978.32*A', '19080.*A', '19143.*A', '19199.2*A', '19253.1*A', '19283.*A', '19122.*A', '19289.2*A', '19295.11*A', '19136.*A', '23097.*A', '23522.2*A', '24072.1*A', '23713.*A', '23895.11*A', '23965.1*A', '23454.*A', '24149.11*A', '24135.*A', '24194.*A', '23710.38*A', '24163.*A', '24067.61*A', '24889.*A', '24976.*A']"
116,07675.*A,"['00128.*A', '00146.*A', '00164.*A', '00438.*A', '00498.*A', '00987.*A', '01132.*A', '01165.*A', '01176.*A', '03474.*A', '03112.*A', '03135.*A', '03642.*A', '03728.*A', '03641.*A', '03643.*A', '03760.*A', '03639.*A', '03805.*A', '07425.*A', '07589.*A', '07796.*A', '11444.*A', '11270.*A', '19080.*A', '19199.2*A', '19253.1*A', '23055.*A', '22899.*A', '23097.*A', '23121.*A', '22905.*A', '23522.2*A', '24072.1*A', '23713.*A', '23895.11*A', '23965.1*A', '23454.*A', '24149.11*A', '23710.38*A', '24163.*A', '24067.61*A', '24889.*A', '24976.*A']"
117,07796.*A,"['00128.*A', '00146.*A', '00164.*A', '00438.*A', '00498.*A', '00987.*A', '01132.*A', '01165.*A', '01176.*A', '03642.*A', '03728.*A', '03641.*A', '03643.*A', '03639.*A', '03805.*A', '04427.*A', '04650.1*A', '04824.*A', '06811.*A', '07055.*A', '07425.*A', '07589.*A', '07675.*A', '12077.*A', '12151.01*A', '11444.*A', '11270.*A', '18771.*A', '18855.*A', '18876.11*A', '18978.32*A', '18989.*A', '19080.*A', '19143.*A', '19166.*A', '19199.2*A', '19253.1*A', '19307.2*A', '19283.*A', '19122.*A', '19289.2*A', '19295.11*A', '19136.*A', '23055.*A', '22899.*A', '23097.*A', '23121.*A', '22905.*A', '23522.2*A', '24072.1*A', '23713.*A', '23895.11*A', '23965.1*A', '23454.*A', '24149.11*A', '24135.*A', '23710.38*A', '24163.*A', '24067.61*A', '24889.*A', '24976.*A']"
118,08995.*A,"['02802.*A', '02827.*A', '08750.*A', '09011.*A', '09112.*A', '09180.*A', '08525.*A', '08559.*A', '08551.*A', '07819.*A', '07840.*A', '07849.*A', '08050.*A', '16650.*A', '13218.*A', '13890.*A', '14052.*A', '15100.01*A', '15783.*A', '16269.*A', '20069.11*A', '20503.*A', '19673.*A', '21979.1*A', '22024.*A', '25977.*A', '25348.*A', '25496.1*A']"
119,08750.*A,"['02802.*A', '02827.*A', '08995.*A', '09011.*A', '09112.*A', '09180.*A', '08525.*A', '08559.*A', '08551.*A', '07819.*A', '07840.*A', '07849.*A', '08050.*A', '16650.*A', '13218.*A', '13890.*A', '14052.*A', '15100.01*A', '15783.*A', '16269.*A', '18753.*A', '20069.11*A', '20480.2*A', '20503.*A', '20126.*A', '19673.*A', '21252.*A', '21979.1*A', '22024.*A', '25977.*A', '25348.*A', '25496.1*A', '26768.*A']"
120,09011.*A,"['02802.*A', '02827.*A', '08995.*A', '08750.*A', '09112.*A', '09180.*A', '08525.*A', '08559.*A', '08551.*A', '07819.*A', '07840.*A', '07849.*A', '08050.*A', '13218.*A', '13890.*A', '14052.*A', '15100.01*A', '15783.*A', '16269.*A', '20069.11*A', '20480.2*A', '20503.*A', '20126.*A', '19673.*A', '21252.*A', '21979.1*A', '22024.*A', '25977.*A', '25348.*A', '25496.1*A']"
121,09112.*A,"['02802.*A', '02827.*A', '08995.*A', '08750.*A', '09011.*A', '09180.*A', '08525.*A', '08559.*A', '08551.*A', '07819.*A', '07840.*A', '07849.*A', '08050.*A', '16650.*A', '13218.*A', '13890.*A', '14052.*A', '15100.01*A', '15783.*A', '16269.*A', '20069.11*A', '20480.2*A', '20503.*A', '20126.*A', '19673.*A', '21252.*A', '21979.1*A', '22024.*A', '25977.*A', '25348.*A', '25496.1*A', '26768.*A']"
122,09180.*A,"['02802.*A', '02827.*A', '08995.*A', '08750.*A', '09011.*A', '09112.*A', '08525.*A', '08559.*A', '08551.*A', '07819.*A', '07840.*A', '07849.*A', '08050.*A', '16650.*A', '13218.*A', '13890.*A', '14052.*A', '15100.01*A', '15783.*A', '16269.*A', '18753.*A', '20069.11*A', '20480.2*A', '20503.*A', '20126.*A', '19673.*A', '21252.*A', '21979.1*A', '22024.*A', '25977.*A', '25348.*A', '25496.1*A', '26768.*A']"
123,08525.*A,"['02802.*A', '02827.*A', '08995.*A', '08750.*A', '09011.*A', '09112.*A', '09180.*A', '08559.*A', '08551.*A', '07840.*A', '07849.*A', '09524.*A', '10228.*A', '09725.*A', '10382.2*A', '17205.1*A', '16650.*A', '16761.*A', '17220.*A', '13218.*A', '13890.*A', '14052.*A', '15100.01*A', '15783.*A', '16269.*A', '17757.*A', '17668.2*A', '17695.*A', '17746.*A', '18603.*A', '18157.*A', '18609.*A', '18753.*A', '20069.11*A', '20480.2*A', '20503.*A', '20126.*A', '19673.*A', '21252.*A', '21979.1*A', '22024.*A', '22209.*A', '22309.*A', '22210.*A', '25863.*A', '25977.*A', '25986.*A', '25348.*A', '25496.1*A', '26627.*A', '26768.*A']"
124,08559.*A,"['02802.*A', '02827.*A', '05388.11*A', '05375.*A', '05281.*A', '05738.*A', '08995.*A', '08750.*A', '09011.*A', '09112.*A', '09180.*A', '08525.*A', '08551.*A', '07840.*A', '07849.*A', '09524.*A', '10228.*A', '09725.*A', '09657.*A', '10092.*A', '09977.*A', '10382.2*A', '17205.1*A', '16650.*A', '16761.*A', '17220.*A', '13218.*A', '13890.*A', '14052.*A', '15100.01*A', '15783.*A', '16269.*A', '17757.*A', '17668.2*A', '17695.*A', '17746.*A', '18603.*A', '18157.*A', '18609.*A', '18753.*A', '20069.11*A', '20480.2*A', '20503.*A', '20126.*A', '19673.*A', '21252.*A', '21979.1*A', '22024.*A', '22209.*A', '22309.*A', '22210.*A', '25863.*A', '25977.*A', '25986.*A', '25348.*A', '25496.1*A', '26627.*A', '26768.*A']"
125,08551.*A,"['02802.*A', '02827.*A', '05388.11*A', '05281.*A', '08995.*A', '08750.*A', '09011.*A', '09112.*A', '09180.*A', '08525.*A', '08559.*A', '07840.*A', '07849.*A', '09524.*A', '10228.*A', '09725.*A', '09657.*A', '09977.*A', '10382.2*A', '17205.1*A', '16650.*A', '16761.*A', '17220.*A', '13218.*A', '13890.*A', '14052.*A', '15100.01*A', '15783.*A', '16269.*A', '17757.*A', '17668.2*A', '17695.*A', '17746.*A', '18603.*A', '18157.*A', '18609.*A', '18753.*A', '20069.11*A', '20480.2*A', '20503.*A', '20126.*A', '19673.*A', '21252.*A', '21979.1*A', '22024.*A', '22209.*A', '22309.*A', '22210.*A', '25863.*A', '25977.*A', '25986.*A', '25348.*A', '25496.1*A', '26627.*A', '26768.*A']"
126,07819.*A,"['02802.*A', '02827.*A', '08995.*A', '08750.*A', '09011.*A', '09112.*A', '09180.*A', '07840.*A', '07849.*A', '08050.*A', '13218.*A', '13890.*A', '14052.*A', '15100.01*A', '15783.*A', '16269.*A', '20503.*A', '19673.*A', '21979.1*A', '22024.*A', '25348.*A', '25496.1*A']"
127,07840.*A,"['02802.*A', '02827.*A', '08995.*A', '08750.*A', '09011.*A', '09112.*A', '09180.*A', '08525.*A', '08559.*A', '08551.*A', '07819.*A', '07849.*A', '08050.*A', '13218.*A', '13890.*A', '14052.*A', '15100.01*A', '15783.*A', '16269.*A', '20069.11*A', '20503.*A', '19673.*A', '21979.1*A', '22024.*A', '25348.*A', '25496.1*A']"
128,07849.*A,"['02802.*A', '02827.*A', '08995.*A', '08750.*A', '09011.*A', '09112.*A', '09180.*A', '08525.*A', '08559.*A', '08551.*A', '07819.*A', '07840.*A', '08050.*A', '13218.*A', '13890.*A', '14052.*A', '15100.01*A', '15783.*A', '16269.*A', '20069.11*A', '20503.*A', '19673.*A', '21979.1*A', '22024.*A', '25348.*A', '25496.1*A']"
129,08050.*A,"['02802.*A', '02827.*A', '08995.*A', '08750.*A', '09011.*A', '09112.*A', '09180.*A', '07819.*A', '07840.*A', '07849.*A', '13218.*A', '13890.*A', '14052.*A', '15100.01*A', '15783.*A', '16269.*A', '20503.*A', '19673.*A', '21979.1*A', '22024.*A', '25348.*A', '25496.1*A']"
130,09524.*A,"['06022.11*A', '06039.1*A', '06070.*A', '04427.*A', '04444.*A', '04508.1*A', '04507.*A', '04567.*A', '04650.1*A', '04938.*A', '04767.*A', '04824.*A', '04870.*A', '04503.*A', '05388.11*A', '05375.*A', '05281.*A', '05738.*A', '07055.*A', '08525.*A', '08559.*A', '08551.*A', '10228.*A', '09725.*A', '09657.*A', '09834.*A', '09847.*A', '10092.*A', '09977.*A', '10034.*A', '10382.2*A', '09614.*A', '10509.*A', '11098.*A', '11884.*A', '12077.*A', '12151.01*A', '17220.*A', '15100.01*A', '16269.*A', '17757.*A', '17668.2*A', '17695.*A', '17746.*A', '18603.*A', '18157.*A', '18609.*A', '18753.*A', '20069.11*A', '20480.2*A', '20503.*A', '20126.*A', '19673.*A', '21252.*A', '23055.*A', '23121.*A', '22905.*A', '25863.*A', '25977.*A', '25986.*A', '27346.*A', '27166.*A', '27168.1*A', '27465.*A', '27356.*A', '27373.*A', '27505.*A', '27518.*A', '27667.*A', '27682.*A', '26627.*A', '26768.*A']"
131,10228.*A,"['06022.11*A', '06039.1*A', '06070.*A', '04427.*A', '04444.*A', '04508.1*A', '04507.*A', '04567.*A', '04650.1*A', '04938.*A', '04767.*A', '04824.*A', '04870.*A', '04503.*A', '05388.11*A', '05375.*A', '05281.*A', '05738.*A', '07055.*A', '08525.*A', '08559.*A', '08551.*A', '09524.*A', '09725.*A', '09657.*A', '09834.*A', '09847.*A', '10092.*A', '09977.*A', '10034.*A', '10382.2*A', '09614.*A', '11098.*A', '12077.*A', '12151.01*A', '17220.*A', '14052.*A', '15100.01*A', '16269.*A', '17757.*A', '17668.2*A', '17695.*A', '17746.*A', '18603.*A', '18157.*A', '18609.*A', '18753.*A', '20069.11*A', '20480.2*A', '20503.*A', '20126.*A', '19673.*A', '21252.*A', '23055.*A', '23121.*A', '22905.*A', '25863.*A', '25977.*A', '25986.*A', '27346.*A', '27166.*A', '27168.1*A', '27356.*A', '27373.*A', '27505.*A', '27518.*A', '27667.*A', '27682.*A', '26627.*A', '26768.*A']"
132,09725.*A,"['02802.*A', '06070.*A', '04427.*A', '04444.*A', '04508.1*A', '04507.*A', '04567.*A', '04650.1*A', '04938.*A', '04767.*A', '04824.*A', '04870.*A', '04503.*A', '05388.11*A', '05375.*A', '05281.*A', '05738.*A', '07055.*A', '08525.*A', '08559.*A', '08551.*A', '09524.*A', '10228.*A', '09657.*A', '09834.*A', '09847.*A', '10092.*A', '09977.*A', '10034.*A', '10382.2*A', '09614.*A', '11098.*A', '12077.*A', '17220.*A', '13890.*A', '14052.*A', '15100.01*A', '16269.*A', '17757.*A', '17668.2*A', '17695.*A', '17746.*A', '18603.*A', '18157.*A', '18609.*A', '18753.*A', '20069.11*A', '20480.2*A', '20503.*A', '20126.*A', '19673.*A', '21252.*A', '23055.*A', '23121.*A', '22905.*A', '25863.*A', '25977.*A', '25986.*A', '27346.*A', '27166.*A', '27168.1*A', '27356.*A', '27373.*A', '27505.*A', '27518.*A', '27667.*A', '27682.*A', '26627.*A', '26768.*A']"
133,09657.*A,"['05829.*A', '06022.11*A', '06039.1*A', '06057.1*A', '06070.*A', '06089.*A', '04427.*A', '04444.*A', '04508.1*A', '04507.*A', '04567.*A', '04650.1*A', '04938.*A', '04767.*A', '04824.*A', '04870.*A', '04503.*A', '05388.11*A', '05375.*A', '05281.*A', '05738.*A', '07055.*A', '08559.*A', '08551.*A', '09524.*A', '10228.*A', '09725.*A', '09834.*A', '09847.*A', '10092.*A', '09977.*A', '10034.*A', '10382.2*A', '09614.*A', '10509.*A', '10605.*A', '10653.*A', '10824.*A', '11098.*A', '11098.2*A', '11884.*A', '12077.*A', '12151.01*A', '12160.1*A', '15100.01*A', '16269.*A', '17757.*A', '17668.2*A', '17695.*A', '17746.*A', '18603.*A', '18157.*A', '18609.*A', '18753.*A', '20069.11*A', '20480.2*A', '20503.*A', '20126.*A', '21252.*A', '23055.*A', '23121.*A', '22905.*A', '25863.*A', '25986.*A', '27346.*A', '27166.*A', '27168.1*A', '27465.*A', '27356.*A', '27373.*A', '27505.*A', '27518.*A', '27667.*A', '27682.*A', '26627.*A', '26768.*A']"
134,09834.*A,"['05829.*A', '06022.11*A', '06039.1*A', '06070.*A', '04444.*A', '04508.1*A', '04507.*A', '04567.*A', '04650.1*A', '04938.*A', '04767.*A', '04824.*A', '04870.*A', '04503.*A', '05388.11*A', '05375.*A', '05281.*A', '05738.*A', '09524.*A', '10228.*A', '09725.*A', '09657.*A', '09847.*A', '10092.*A', '09977.*A', '10034.*A', '10382.2*A', '09614.*A', '10509.*A', '10605.*A', '10653.*A', '10736.*A', '10746.2*A', '10824.*A', '10899.*A', '11098.*A', '11098.2*A', '15100.01*A', '16269.*A', '17757.*A', '17668.2*A', '17695.*A', '17746.*A', '18603.*A', '18157.*A', '18609.*A', '18753.*A', '20069.11*A', '20480.2*A', '20126.*A', '21252.*A', '27346.*A', '27166.*A', '27168.1*A', '27465.*A', '27356.*A', '27373.*A', '27505.*A', '27518.*A', '27667.*A', '27682.*A', '26627.*A', '26768.*A']"
135,09847.*A,"['05829.*A', '05839.5*A', '06022.11*A', '06039.1*A', '06057.1*A', '06070.*A', '06147.1*A', '06089.*A', '05903.*A', '04427.*A', '04444.*A', '04508.1*A', '04507.*A', '04567.*A', '04650.1*A', '04938.*A', '04767.*A', '04824.*A', '04870.*A', '04503.*A', '05388.11*A', '05375.*A', '05281.*A', '05738.*A', '07055.*A', '09524.*A', '10228.*A', '09725.*A', '09657.*A', '09834.*A', '10092.*A', '09977.*A', '10034.*A', '10382.2*A', '09614.*A', '10509.*A', '10605.*A', '10512.*A', '10653.*A', '10736.*A', '10746.2*A', '10824.*A', '10899.*A', '10938.*A', '11098.*A', '11098.2*A', '11884.*A', '12077.*A', '12151.01*A', '12160.1*A', '15100.01*A', '17757.*A', '17668.2*A', '17695.*A', '17746.*A', '18603.*A', '18157.*A', '18609.*A', '18753.*A', '20069.11*A', '20480.2*A', '20126.*A', '21252.*A', '23055.*A', '23121.*A', '22905.*A', '27346.*A', '27166.*A', '27168.1*A', '27465.*A', '27356.*A', '27373.*A', '27505.*A', '27518.*A', '27667.*A', '27682.*A', '26627.*A', '26768.*A']"
136,10092.*A,"['05829.*A', '06022.11*A', '06039.1*A', '06070.*A', '04427.*A', '04444.*A', '04508.1*A', '04507.*A', '04567.*A', '04650.1*A', '04938.*A', '04767.*A', '04824.*A', '04870.*A', '04503.*A', '05388.11*A', '05375.*A', '05281.*A', '05738.*A', '07055.*A', '08559.*A', '09524.*A', '10228.*A', '09725.*A', '09657.*A', '09834.*A', '09847.*A', '09977.*A', '10034.*A', '10382.2*A', '09614.*A', '10509.*A', '10605.*A', '10653.*A', '10824.*A', '11098.*A', '11098.2*A', '12077.*A', '15100.01*A', '16269.*A', '17757.*A', '17668.2*A', '17695.*A', '17746.*A', '18603.*A', '18157.*A', '18609.*A', '18753.*A', '20069.11*A', '20480.2*A', '20503.*A', '20126.*A', '19673.*A', '21252.*A', '25986.*A', '27346.*A', '27166.*A', '27168.1*A', '27465.*A', '27356.*A', '27373.*A', '27505.*A', '27518.*A', '27667.*A', '27682.*A', '26627.*A', '26768.*A']"
137,09977.*A,"['05829.*A', '06022.11*A', '06039.1*A', '06057.1*A', '06070.*A', '04427.*A', '04444.*A', '04508.1*A', '04507.*A', '04567.*A', '04650.1*A', '04938.*A', '04767.*A', '04824.*A', '04870.*A', '04503.*A', '05388.11*A', '05375.*A', '05281.*A', '05738.*A', '07055.*A', '08559.*A', '08551.*A', '09524.*A', '10228.*A', '09725.*A', '09657.*A', '09834.*A', '09847.*A', '10092.*A', '10034.*A', '10382.2*A', '09614.*A', '10509.*A', '10653.*A', '10824.*A', '11098.*A', '11884.*A', '12077.*A', '12151.01*A', '12160.1*A', '17220.*A', '15100.01*A', '16269.*A', '17757.*A', '17668.2*A', '17695.*A', '17746.*A', '18603.*A', '18157.*A', '18609.*A', '18753.*A', '20069.11*A', '20480.2*A', '20503.*A', '20126.*A', '19673.*A', '21252.*A', '23055.*A', '23121.*A', '22905.*A', '25863.*A', '25986.*A', '27346.*A', '27166.*A', '27168.1*A', '27465.*A', '27356.*A', '27373.*A', '27505.*A', '27518.*A', '27667.*A', '27682.*A', '26627.*A', '26768.*A']"
138,10034.*A,"['05829.*A', '05839.5*A', '06022.11*A', '06039.1*A', '06057.1*A', '06070.*A', '06147.1*A', '06089.*A', '05903.*A', '04427.*A', '04444.*A', '04508.1*A', '04507.*A', '04567.*A', '04650.1*A', '04938.*A', '04767.*A', '04824.*A', '04870.*A', '04503.*A', '05388.11*A', '05375.*A', '05281.*A', '05738.*A', '07055.*A', '09524.*A', '10228.*A', '09725.*A', '09657.*A', '09834.*A', '09847.*A', '10092.*A', '09977.*A', '10382.2*A', '09614.*A', '10509.*A', '10605.*A', '10512.*A', '10653.*A', '10665.*A', '10736.*A', '10746.2*A', '10824.*A', '10615.2*A', '10899.*A', '10938.*A', '11098.*A', '11098.2*A', '11884.*A', '12077.*A', '12151.01*A', '12160.1*A', '15100.01*A', '17757.*A', '17668.2*A', '17695.*A', '17746.*A', '18603.*A', '18157.*A', '18609.*A', '18753.*A', '20069.11*A', '20480.2*A', '20126.*A', '21252.*A', '27346.*A', '27166.*A', '27168.1*A', '27465.*A', '27356.*A', '27373.*A', '27505.*A', '27518.*A', '27667.*A', '27682.*A', '26627.*A', '26768.*A']"
139,10382.2*A,"['06022.11*A', '06070.*A', '04427.*A', '04444.*A', '04508.1*A', '04507.*A', '04567.*A', '04650.1*A', '04938.*A', '04767.*A', '04824.*A', '04870.*A', '04503.*A', '05388.11*A', '05375.*A', '05281.*A', '05738.*A', '07055.*A', '08525.*A', '08559.*A', '08551.*A', '09524.*A', '10228.*A', '09725.*A', '09657.*A', '09834.*A', '09847.*A', '10092.*A', '09977.*A', '10034.*A', '09614.*A', '11098.*A', '12077.*A', '17220.*A', '13890.*A', '14052.*A', '15100.01*A', '16269.*A', '17757.*A', '17668.2*A', '17695.*A', '17746.*A', '18603.*A', '18157.*A', '18609.*A', '18753.*A', '20069.11*A', '20480.2*A', '20503.*A', '20126.*A', '19673.*A', '21252.*A', '23055.*A', '23121.*A', '22905.*A', '25863.*A', '25977.*A', '25986.*A', '27346.*A', '27166.*A', '27168.1*A', '27356.*A', '27373.*A', '27505.*A', '27518.*A', '27667.*A', '27682.*A', '26627.*A', '26768.*A']"
140,09614.*A,"['05829.*A', '06022.11*A', '06039.1*A', '06057.1*A', '06070.*A', '04427.*A', '04444.*A', '04508.1*A', '04507.*A', '04567.*A', '04650.1*A', '04938.*A', '04767.*A', '04824.*A', '04870.*A', '04503.*A', '05388.11*A', '05375.*A', '05281.*A', '05738.*A', '09524.*A', '10228.*A', '09725.*A', '09657.*A', '09834.*A', '09847.*A', '10092.*A', '09977.*A', '10034.*A', '10382.2*A', '10509.*A', '10605.*A', '10512.*A', '10653.*A', '10736.*A', '10746.2*A', '10824.*A', '10899.*A', '10938.*A', '11098.*A', '11098.2*A', '11884.*A', '12077.*A', '15100.01*A', '16269.*A', '17757.*A', '17668.2*A', '17695.*A', '17746.*A', '18603.*A', '18157.*A', '18609.*A', '18753.*A', '20069.11*A', '20480.2*A', '20126.*A', '21252.*A', '27346.*A', '27166.*A', '27168.1*A', '27465.*A', '27356.*A', '27373.*A', '27505.*A', '27518.*A', '27667.*A', '27682.*A', '26627.*A', '26768.*A']"
